code,description,title
CS11,"Caribbean coasts are subjected to natural and anthropogenic hazards that can cause significant flooding and erosion with concomitant adverse consequences that can substantially hamper developmental and sustainability goals. In order to combat these disastrous events, given the uncertainty of the future meteorological and oceanographic climate, regional engineers rely on a variety of solutions including hard, soft and hybrid engineering approaches. However, engineered solutions implemented without the environment and people at its core, cannot allow for Caribbean coasts to become resilient- surviving and recovering from the damaging impacts of climate change and other drivers. As such, there has been an augmented focus regionally to explore engineered designs that ably balance biodiversity goals, integrating local communities and other key stakeholders, providing the expected levels of protection over the design life and yet cost-effective to optimize limited financial resources (i.e., achieving SDG3, SDG8, SDG9, SDG11, SDG13, SDG14 & SDG17).",Engineering our Caribbean Coasts: Challenges to Coastal Resillience
CS12,"As climate change intensifies coastal hazards, traditional hard infrastructure is proving increasingly inadequate, particularly in Small Island Developing States where resources are limited and exposure to flooding is high. Nature-based solutions act as physical barriers and offer hydrodynamic buffering, attenuating wave energy, reducing storm surge heights, and trapping sediment to lower flood depths. However, their effectiveness in mitigating flooding under compound conditions involving storm surge, rainfall, and river discharge remains insufficiently quantified.
This research combines laboratory experiments and numerical modeling to investigate how the ecological characteristics of nature-based solutions influence flood behaviour. These insights are used to incorporate nature-based systems into a probabilistic compound flood modeling framework that accounts for uncertainty in climate conditions, flood drivers, and ecosystem performance.
The study supports SDGs 13, 11, 14, and 15 by strengthening climate resilience and protecting ecosystems, contributes to SDGs 1 and 8 through the preservation of livelihoods and natural resources, and advances SDG 9 by promoting innovative, resilient infrastructure that integrates natural and engineered defenses for the Caribbean.",Leveraging Nature-based Solutions to Achieve Coastal Resilience in the Caribbean
CS13,"This study seeks to examine risk factors for engagement in drug and alcohol usage among school youth in the Caribbean. Data was derived from a survey which was administered to Form 4 and 5 school youth in St. Vincent and the Grenadines (N = 1491), Tobago (N = 777) and St. Kitts and Nevis (N = 767) in 2023. Twenty-six risk factors in the individual, family, peer, school and community domains were examined. Ordinary least squares regression was used to examine the relationship between the risk factors and drug and alcohol usage. The study provides estimates of the level of drug and alcohol usage among school youths and revealed that the most important predictors were the intention to use drugs, low self-control, having antisocial peers, experiencing family abuse and experiencing family problems. The findings were discussed in the context of interventions aimed at reducing drug and alcohol usage among young persons.",Risk Factors for Drug and Alcohol Usage Among School Youth in the Caribbean
CS14,"Gangs and gang-related violence continue to pose a serious threat to public safety in Trinidad and Tobago, with juveniles increasingly vulnerable to recruitment and involvement. Media reports have underscored a troubling trend juvenile gang membership appears to be occurring at progressively younger ages. This study investigates the principal risk domains and associated factors influencing juvenile gang involvement, utilizing secondary data from the Trinidad and Tobago Youth Survey conducted in 2006. The research aimed to identify the key risk domains and determine which domain(s) demonstrated the strongest association with juvenile affiliation in adult gangs. It also hypothesized that the presence of a higher number of risk factors would correspond to an increased likelihood of gang involvement.
The study was guided by interactional theory, which offers a comprehensive framework for understanding the interplay between individual behaviour, weakened social bonds, and environmental influences, while also accounting for structural and interpersonal dynamics. As this research relied on secondary data, the original methodology was reviewed and found to have employed purposive sampling. The resulting sample was comprised of 2,206 third and fifth form students from high-risk secondary schools across Trinidad and Tobago.
The survey instrument examined thirty risk factors distributed across five domains: family, peer, school, community, and individual. The data were analyzed using a range of statistical tests in SPSS. The findings, disaggregated by gang status, revealed that 80.1% of respondents had never been involved in a gang, while 7.5% identified as gang associates, 6.5% as former gang members, and 6.0% as current gang members.
The analysis indicated that risk factors within the peer domain particularly association with antisocial peers and the receipt of rewards for antisocial behaviour were significantly correlated with gang involvement. Additional contributing factors included perceived handgun availability, social disorganization, and early engagement in antisocial behaviour.
Furthermore, the likelihood of gang involvement was found to increase with cumulative exposure to multiple risk factors. The study reinforces the need for evidence-based prevention strategies, articularly those grounded in the public health model, and advocates for targeted, tertiary-level interventions aimed at high-risk youth. It is evident that continuous research should be conducted to monitor shifting patterns and emergent risks.",An Examination of Risk Factors for Juvenile Involvement in Adult-Gangs in Trinidad and Tobago
CS15,"The Youth Art in Times of COVID-19 project, part of the Caribbean Alliance of National Psychological Associations Caribbean Youth Mental Health Champions Project, sought to provide a creative outlet for Caribbean children to tell the stories of their lived experiences during the COVID-19 pandemic. The psychosocial impact of the COVID-19 pandemic on children has been extensively researched in international settings but there is a paucity of comparable studies of Caribbean participants. This study sought to make a unique contribution to knowledge in this area with the aim of better understanding what mental health and psychosocial support (MHPSS) interventions may best support the region's children. It also sought to make a methodological contribution to knowledge generation in the region by using non-traditional research techniques, thereby indigenizing the findings to a greater extent.
The data were based on the visual artwork submissions of 103 Caribbean children. Art pieces were solicited via social media platforms and direct contact with youth groups. Submissions were screened for suitability prior to inclusion in the analysis for the study. Utilizing a participatory arts-based research methodology, the data comprised both the artwork as well as the artists  own descriptions of their art. Thematic analysis, using the process outlined by Braun and Clarke (2006) was used to identify latent themes in the art pieces and artists  descriptions. An emphasis was placed on identifying latent themes based on symbols, words and descriptions rather than semantic themes based on the artists  choice of materials or composition technique.
The analysis identified seven major themes including: 1. Being socially and physically isolated, 2. Having strong emotional reactions, 3. Feeling overwhelmed, 4. COVID-19 virus as a threat, 5. Pandemic-related health literacy, 6. Attempts at learning continuity, and 7. Signs of a hopeful future. The prevalence of the theme of social isolation was pronounced. The implications of this research are that further support may be required for children in the area of disaster mental health and climate change resilience which is an underserved area in Caribbean youth development, education and psychology. The implications for further research are far-reaching and signal a pressing need. Of particular research interest is children s use of art as a form of  self-therapy  in times of distress.
This study makes a valuable contribution to knowledge across the areas of youth development, education and psychology by identifying areas for action that may enhance youths  ability to be resilient and cope with climate change and health and education related crises such as those caused by the 2020-2022 global pandemic. It is hoped that these insights will be used to inform tailored mental health and psychosocial support interventions for Caribbean children.",Thematic Analysis of Caribbean Children's Art During the COVID-19 Pandemic
CS16,"Research on lesbian, gay, bisexual, transgender and queer (LGBTQ) issues is critical to raising awareness about and building support for the community and bolstering advocacy for policy and legislative change. There is a dearth of resources and limited capacity in countries where homophobia and transphobia are pervasive to undertake research. Consequently, LGBTQ-related research is often conducted using narrow frames which focus on narratives around violence, criminalization and HIV and by individuals who sometimes rarely have connection to the country or community they are investigating. The challenges with conducting research in the Caribbean are compounded by limited sampling frame and difficulties recruiting research participants due to the antipathy that exists. Therefore, it is difficult to conduct quantitative research and produce results that are reliable, valid and generalizable. Consequently, the LGBTQ community is often pathologized and the research is not always representative of the realities and needs due to bias, lack of partnership with LGBTQ groups and/or involvement of LGBTQ people and failure to acknowledge their epistemological standpoints. Community organisers do not all have the wherewithal to understand and use research effectively. For example, articles published in peer reviewed journals are not generally written in accessible language for those outside the academy and some activists lack the capacity to use the findings from academic research to bolster their advocacy and programmes. Consequently, given the challenges that exist in this regard  and the lack of partnership between both communities (i.e. community organisers and academics), research findings are often ignored and/or not used.
This paper presents data on the situation in the Caribbean based on experiential learning, a rapid assessment among LGBTQ leaders in the region and secondary data analysis which illuminate the challenges and opportunities to develop local expertise on the issues affecting the LGBTQ community through robust research and publishing data that would not only raise awareness about the realities and needs of the community but decolonize knowledge production around such a critical issue as well as challenge the narratives about the Caribbean LGBTQ community.",Mind the Gap: Indigenizing LGBTQ Research to Redress Epistemological Violence in the Caribbean
CS17,"Introduction: Andrea Bharrat, a 23-year-old woman, was murdered in Trinidad and Tobago in 2021. Bharatt s murder triggered a massive public response, including the closing of businesses, candlelight vigils, protests and extensive media coverage. Numerous letters to newspaper editors were written. This study uses Critical Discourse Analysis (CDA) to investigate gender ideologies underlying dominant and hidden narratives within said letters to newspaper editors.
Objectives: The objectives of this research are: (1) to investigate the dominant narratives within the collection of letters to newspaper editors, (2) to uncover the hidden narratives in the collection, and (3) to explore what these dominant and hidden narratives reveal about underlying gender ideologies and gender or power relations.
Methodology: Critical Discourse Analysis (CDA) is utilized to investigate the letters to the editor for three major newspapers in Trinidad and Tobago   the Trinidad and Tobago Guardian, the Trinidad Express and the Trinidad and Tobago Newsday. 213 letters from February to April 2021 were examined. Language choices were interrogated to reveal the assumptions and ideologies underlying the public discourse.
Discussion: This project engages the theme of Caribbean intellectual, philosophical and everyday thought, together with that of activism and solidarity. The discourse represented via the letters expresses solidarity with other forms of activism, such as marches and vigils, in the wake of Bharatt s murder. This medium of everyday thought is systematically analyzed via a gender lens to reveal philosophical ideologies, that is, underlying belief systems upheld by individuals and collectives.
Results: The study uncovered seven key ideological narratives: (1) Toxic Masculinity; (2) Perpetrators as Monsters; (3) Punishment; (4) Protection; (5) Respectability; (6) Victim-Blaming and (7) Citizenship. The elevation of Bharatt s status from daughter to martyr is also traced. Letters to the editor, as the selected media, proved to be a rich space for discourse   both resistances to existing patriarchal power relations as well as the resultant masculinist backlash. The results demonstrate that ideologies can mask the way public discourse sustains gendered power relations in Trinidad and Tobago.
Keywords: Critical Discourse Analysis, Andrea Bharratt, Newspapers, Letters to the Editor, Resistances to Patriarchy, Masculinist Backlash",Dear Editor: A Study of Gender Ideology Through Newspaper Discourse
CS18,"In December 2024 over 98 states and organisations appeared before the International Court of Justice to give oral statements in support of their request for an Advisory Opinion on the legal responsibilities of states for climate change. This initiative was spearheaded by small island developing states (SIDS) from the Pacific and the Caribbean. This study is framed around the theory of coloniality, which understands colonialism as a system of organising life that has persisted long after its formal end. This study relies on the climate coloniality lens of geographer Farhana Sultana and coloniality/decoloniality discourses of Latin American and Caribbean thinkers to frame the slowness and inadequacy of climate action and help explain the sudden flurry of climate litigation initiatives. This study aims to explain and highlight the prominence not simply of SIDs but also of the world views of Indigenous Peoples in SIDS in the arguments made in this climate litigation initiative. The paper uses a decoloniality framework to re-read the  vulnerability  and 'stewardship' discourses which constructivist theories of international relations have used to refer to SIDS and Indigenous Peoples in SIDS. Decolonial notions of  ontological disobedience  (Burman 2017) and 'shifting the geography of reason' (Gordon 2011) will be applied as a frame or understanding SIDS  decision to transition from the accepted and now ineffective sites of multilateral climate action, the UN Framework Convention on Climate Change and its annual Conference of the Parties (COP) negotiations, to international courts and tribunals.
Methodologically, this study takes up the decolonial approaches of moving outside of coloniality s imposition of compartmentalised academic disciplines by engaging in 'just thinking' (Mignolo 2007). This approach, incorporates Sultana s practice of 'feeling with climate': incorporating emotional responses to climate crisis (as opposed to the climate crisis), action and activism as part of the evidence to be factored into a decolonial analysis. 
Keywords: coloniality, decoloniality, climate coloniality, advisory opinion, climate change, climate action, UNFCCC, COP, SIDS, Indigenous People, self-determination, pluriversality, ontological disobedience, epistemic disobedience, shifting the geography of reason",Ontological Disobedience: Pluriversal Perspectives in the International Court of Justice Advisory Opinion on Climate Change
CS19,"Who is the Caribbean woman?
If we listen to her portrayal in regional music, she is worshipped for the rhythm of her hips, the sway of her walk and her ability to please her man   a trope immortalised in David Rudder s Bacchanal Lady where the Caribbean woman is both celebrated and confined to her body s performance:  the sweet scandal when she walk, the real magic when she talk  and his desire for her to  make some love to me . But is that all she is?
Caribbean women navigate systems that demand peak performance   both professionally and emotionally   while denying structural support for their wellbeing, sexual and economic autonomy or healing. This paper exposes how the commodification of Caribbean women and girls, historically rooted in slavery and colonialism, persists in contemporary workplaces and intimate settings. It introduces Diddy-Ideology   a conceptual framework for understanding extractive gendered labour through three interlinked dimensions:
1. Institutional silence - The suppression of grievances (harassment, maternity inequality), masked by gratitude rhetoric;
2. Emotional Endurance - The normalization of emotional pain, framed as strength (e.g. enduring infidelity for family stability);
3. Dual servitude   The unpaid emotional labour of  office moms , caregiving and sexual obligations in private life and performative joy in public/social spaces
Objectives: The paper investigates the intertwined commodification of Caribbean women in labour and love under neocolonial systems. It aims to:
1. Trace historical continuities between enslaved women s exploitation and modern institutional neglect of caregiving, health and autonomy
2. Propose decolonial policy and cultural interventions for gender justice in both private and public domains.
Methodology: Guided by a decolonial feminist theoretical lens, this conceptual exploratory study draws on qualitative media analysis, Caribbean feminist scholarship and social media discourse. Focusing on platforms such as Twitter/X, TikTok and Facebook, the study examines how Caribbean users engage with narratives around male power, fame, accountability and the normalization of abuse. The recent P.Diddy/RICO case serves as a cultural reference point for analysing gender scripts in music, religion and family expectations. Workplace conditions are explored through HR policy reviews and historical archival analysis of colonial labour codes.
Findings (Preliminary Insights): This conceptual discourse analysis yields exploratory insights intended to guide future empirical research. It identifies key cultural patterns that warrant deeper investigation. Despite increasing representation in the workforce, Caribbean women operate in institutions that echo pre-colonial/colonial labour models   where biological, emotional, psychological and reproductive realities are rendered invisible. Simultaneously, they are socialised to perform love as labour, exchanging compliance and silence for stability and status. These dual domains reflect a shared cultural economy where women are expected to function flawlessly, give endlessly and endure without visible resistance.
Conclusion and Praxis Recommendations: The paper proposes a decolonial gender justice framework including:
1. Legislated care-oriented HR policies (e.g.: menstrual leave and public childcare support)
2. Gender-sensitive workplace design standards
3. School curricula teaching critical analysis of romanticised exploitation
By bridging history, digital ethnography and feminist praxis, this work reimagines a Caribbean economic future that recognises women not as commodities, but as full human beings. Diddy-Ideology offers a critical tool for dismantling systemic extraction in both intimate and institutional spaces.","Bacchanal Lady: Love, Labour and the Legacy of Control: Diddy Ideology and the commodification of Caribbean women in work and intimacy"
CS20,"Brief Introduction to the Research Project: Cancer is a leading cause of death in Latin America and the Caribbean, and the second leading cause of death in Trinidad and Tobago. Common cancer treatments such as surgery, chemo- and radiation therapy can result in side effects like malnutrition and nutrition problems. One of the nutritional problems experienced during cancer treatment is nutritional impact symptoms (NIS). A review of the related literature has highlighted the role of good nutrition for improved cancer related health outcomes and the impact of NIS on the nutritional status of cancer patients. Given the limited research in this area within the Caribbean, we conducted this study.
Objective(s): To examine the NIS and dietary changes experienced by adults living with cancer (ALWC) in Trinidad and the nutritional support and guidance they receive during treatment.
Method: A qualitative study was conducted with 12 ALWC. They were recruited from a nonprofit organization (NPO) provided that they were diagnosed within the last five years and undergoing treatment. All potential participants were identified by an NPO liaison and researchers obtained signed informed consent after the purpose of the study was explained. Participants  experiences with NIS and dietary changes were examined using face-to-face interviews guided by 21 semi-structured questions. All interviews were recorded, transcribed and analysed thematically using Dedoose  software.
Results: Twelve female participants were interviewed, from which three major themes emerged: Nutrition Impact Symptoms (NIS), Dietary Changes, and Lack of Information. Participants experienced a combination of symptoms during treatment: nausea, metallic taste, constipation, fatigue, and loss of appetite, taste and smell. Dietary changes included the introduction of new foods and the decrease or eliminations of others, changes in portion sizes and meal frequency. Intake restrictions were also noted for flour, sugar, processed foods, artificially flavoured foods/beverages, and meats (chicken, beef and pork). Participants reported receiving limited information and dietary guidance from healthcare professionals. They relied on personal research, information from other cancer patients and support groups.
Conclusion: These findings suggest the potential value of capacity-building initiatives that encourage healthcare professionals to incorporate appropriate nutritional guidance in cancer care. Additionally, the integration of dietary education into public health efforts may help support or empower patients and caregivers to make more informed nutrition-related decisions during treatment.",Nutritional Impact Symptoms and Dietary Changes Among Women in a Cancer Support Network: A Qualitative Analysis
